feature,rf_importance,et_importance,xgb_importance,mean_importance
IL_fp_2042,0.00019589097519161753,0.0001308746742804933,0.0034643956,0.0012637204318259932
IL_fp_1844,0.00011672478146277936,0.00022218482437691441,0.0034381906,0.0012590333876341066
IL_fp_926,0.0017511377853051103,0.0015952498311710636,0.00041508285,0.0012538234875929045
IL_fp_1543,0.0013109881032194613,0.001594999541466006,0.0008361042,0.0012473639524933067
IL_fp_2010,0.0001733833166118891,0.0019898666438005475,0.0015624679,0.0012419059510222256
IL_fp_1134,0.000902651664778152,0.00020370517458911933,0.0026131398,0.001239832214606643
IL_fp_1195,0.0017218210393641022,0.0015564340192696126,0.00043423616,0.0012374970743571072
IL_fp_1436,0.000715402622811184,0.0001982495403422149,0.002795057,0.0012362363562502825
Route_of_administration__in_vitro,0.0011187300232293332,0.0019471964419410326,0.0006426081,0.001236178186555052
IL_fp_1734,0.0013539392539059624,0.0005838841214186681,0.0017582285,0.0012320172990395704
IL_fp_1339,0.0011615070460940951,0.000997313175180726,0.0015319893,0.0012302698449789577
IL_fp_888,0.0011297980743264773,0.0022806250850941454,0.00024137886,0.0012172673400283921
IL_fp_768,0.0010423859798298287,0.0018947815353729442,0.00069139776,0.001209521757025077
IL_fp_289,0.0014219057200772975,0.0017274714693540332,0.00047577266,0.0012083832819772234
IL_fp_620,0.002033900616221109,0.0010851409218147563,0.000501942,0.001206994514658549
IL_fp_1335,0.0009574929174777801,0.0010606518460951242,0.0015727694,0.0011969713772134293
IL_fp_1317,0.0008980667472823378,0.0021155008991505914,0.00054715853,0.001186908726092515
IL_fp_1432,0.0010085689957187686,0.001441787082443019,0.0011028629,0.0011844063192652304
IL_fp_157,0.001760727520232325,0.0012834775740554034,0.000497625,0.0011806100236160671
IL_fp_881,0.0010687370593848425,0.0018900687088987678,0.0005694216,0.0011760757972171423
IL_fp_438,0.0018360316642635282,0.00040068265053723635,0.0012856305,0.0011741149419735753
IL_fp_1427,0.0008469929361754643,0.0007510035336535279,0.00192367,0.0011738888047821022
IL_fp_26,0.0017397145890080468,0.0015036176677508594,0.00024471263,0.001162681629480901
IL_fp_429,0.001580245120028384,0.0013534949173605736,0.0005472303,0.0011603234464264932
IL_fp_1015,0.0009197926510267934,0.0009956519413594678,0.001559468,0.001158304192870781
IL_fp_1904,0.0016766817078257494,7.056078956634085e-05,0.0017110693,0.0011527705847968962
IL_fp_397,0.001069685284023448,0.0007620085160031925,0.0016207519,0.0011508152406818223
IL_fp_540,0.0014515905682790163,8.27043986121585e-05,0.0018410687,0.0011251212334582427
IL_fp_210,0.001986141057261969,0.0009882319607668795,0.00039702604,0.0011237996873708692
IL_fp_1896,0.0006156304769964163,0.00031356001002583536,0.0024245176,0.0011179027111513915
IL_fp_1978,4.271176242744294e-05,2.210448082874267e-05,0.003251775,0.001105530392769328
IL_fp_131,0.0010902292194974702,0.0018305368063037109,0.0003837915,0.0011015191798473991
IL_fp_1517,0.00029439424766579105,0.00017671799745944982,0.0028292036,0.001100105286696774
IL_fp_251,0.00195430998642357,0.0010822077182465872,0.0002222993,0.0010862723369526454
IL_fp_1022,0.0014155723744369185,0.0012540920123555385,0.0005768143,0.0010821595580448628
IL_fp_1998,0.0012559069247859674,0.001328814098843367,0.0006574233,0.0010807147688676009
IL_fp_307,0.001098118764183566,0.000931888401651,0.0012004491,0.0010768187455759313
IL_fp_1441,0.0015745299842270866,0.0012358861554950615,0.000418595,0.0010763370496575716
Model_type__Mouse_B6,0.0010378027052712424,0.0017013143803935719,0.00046897712,0.0010693647338267732
IL_fp_1530,0.001414603145901127,0.0010153430258036083,0.00077183475,0.0010672603065235103
IL_fp_1270,0.0005058612438513469,0.002091582843292565,0.00059910584,0.0010655166431851432
IL_fp_243,0.0007536394057600858,0.0016502426735238776,0.00079094095,0.0010649410087277726
IL_fp_694,0.0013513744397130633,0.0015029808683037446,0.0003403513,0.0010649022063470286
IL_fp_1396,0.0004031098313297299,0.0003146792951066881,0.0024705075,0.0010627655485853573
IL_fp_247,0.001406418648069176,0.0005284206766006115,0.0012097744,0.0010482045761675467
IL_fp_656,0.0014900908104270097,0.0005131757015324626,0.0011411149,0.0010481271236233046
IL_fp_777,0.001131582771770827,0.0008925131466835408,0.0011122895,0.0010454618041192952
IL_fp_695,0.0018363899477447138,0.0005939671596841209,0.00070479,0.0010450490357670936
IL_fp_1755,0.001255040502965435,0.001357723496871151,0.0005045778,0.0010391139410951707
IL_fp_195,0.0013633162277574954,0.0013545777274214892,0.0003916417,0.001036511881703032
IL_fp_383,0.000299428349038155,0.00012514214959308967,0.0026812286,0.0010352663545611322
IL_fp_1768,0.001145712841786251,0.0007653545183370662,0.0011534871,0.0010215181633971865
IL_fp_574,0.0009492347709155009,0.0016980813865627067,0.00040633688,0.0010178843469313414
IL_fp_1754,0.0004715851366896091,0.0002104440943018012,0.0023704355,0.0010174882475615895
IL_fp_789,0.0012894927953397961,0.0012668909201616404,0.00048516164,0.0010138484516728698
IL_fp_1410,0.0012004234074476784,0.0008908890760580039,0.000938672,0.001009994824601139
IL_fp_1482,0.0012526776656628606,0.0010053002368543226,0.0007636068,0.0010071949021581853
IL_fp_722,0.0007603529787391268,0.00016843087401065303,0.0020772198,0.0010020012092321169
IL_fp_1425,0.0007042604404144,0.0015923685738616648,0.00070079655,0.0009991418537187403
IL_fp_1951,0.0012286663749521386,0.0011951549348437928,0.0005693469,0.000997722731509045
IL_fp_1055,0.0008132492400441782,0.0011999648703475874,0.0009783454,0.0009971865036818483
IL_fp_986,0.0007277247302678553,0.0019581175416598403,0.00030040645,0.000995416240389753
IL_fp_1750,0.0009591993936829768,0.0001647591850942173,0.001842973,0.000988977211365064
IL_fp_1,0.0015109004927821976,0.0012286747741959362,0.0002271718,0.0009889156879004676
IL_fp_1328,0.0012532564181121073,0.00089012374576867,0.0008209899,0.0009881233530090391
IL_fp_401,0.0011430377282775125,0.0014989963154508833,0.00030383063,0.0009819548916795053
IL_fp_600,0.0005730767105601527,0.0002928267443332762,0.0020764251,0.0009807761929510694
IL_fp_162,0.0012332477885556759,0.001375005886478917,0.00032168257,0.0009766454155669695
IL_fp_1990,0.0011082078887966894,0.0010794869318995995,0.0007240821,0.0009705923116237504
IL_fp_1729,0.00037440234664671385,0.0007021314986284536,0.0018286523,0.0009683953953979822
IL_fp_578,0.0010395492083206137,0.0007113675425238172,0.0011496958,0.0009668708610422452
IL_fp_801,0.0013238042958791782,0.0006858720000156735,0.00089036935,0.0009666818827712603
Model_type__IGROV1,0.00045339941279887397,0.00037916819245157154,0.0020608867,0.0009644847701815656
IL_fp_294,0.001541393056234151,0.0006732653913298765,0.00067397585,0.0009628781004263732
IL_fp_1389,0.0010793909262499098,0.0011956678730391773,0.0005992872,0.0009581153389240038
IL_fp_1135,0.0004784690193629754,0.0007650625701230257,0.00162904,0.0009575238613089912
IL_fp_1422,0.0009738492572596081,0.0012607459356120457,0.00063340506,0.000956000082907466
Model_type__HEK293T,0.0004368481167040344,0.0008121546636420296,0.0016060143,0.0009516723682327363
IL_fp_1249,0.0014800816734203395,0.0005784207383917937,0.00079585164,0.0009514513493414841
IL_fp_1624,0.00023216824170805474,0.00019693264956809303,0.0024142182,0.0009477730137851327
IL_fp_1643,0.0010352748574938289,0.0008618902663986564,0.00093905383,0.0009454063188152708
IL_fp_1329,0.0005023124919128586,0.0006006235137712577,0.0017045819,0.0009358393008195291
IL_fp_1019,0.00113409401885196,0.0006027137589894547,0.0010669506,0.0009345861311122859
IL_fp_1360,0.000263078519879865,9.591821411477214e-05,0.0024425893,0.0009338619988316808
